"COUNTY","SCHOOL","school_code"
"NAPA","SPECIAL EDUCATION",6077218
"SACRAMENTO","LEIMBACH (HERMAN) ELE",6077291
"SAN DIEGO","WILLIAM PENN ELEM",6077317
"RIVERSIDE","JOHN STALLINGS ELEMENTARY",6084669
"VENTURA","ATHERWOOD ELEM",6084917
"VENTURA","WILDWOOD ELEM",6084933
"CONTRA COSTA","MISSION ELEMENTARY",6084941
"LAKE","LOWER LAKE ELEMENTARY",6084990
"SAN JOAQUIN","DELTA ISLAND ELEM",6085005
"STANISLAUS","MOON (RICHARD M) ELE",6085021
"SAN DIEGO","CLOVER FLAT ELEMENTARY",6085054
"SAN DIEGO","PINE VALLEY ELEM",6085062
"SAN DIEGO","PAINTED ROCK ELEMENTARY",6085088
"FRESNO","EDISON - BETHUNE CHARTER ACADEMY",6085112
"FRESNO","MCCARDLE ELEM",6085120
"FRESNO","SLATER ELEMENTARY",6085138
