"COUNTY","SCHOOL","school_code"
"VENTURA","FLORY ACADEMY OF SCIENCES AND TECHNOLOGY",6055131
"VENTURA","PEACH HILL ELEM",6055149
"VENTURA","MUPU ELEMENTARY",6055156
"VENTURA","LAGUNA VISTA ELEMENTARY",6055164
"VENTURA","MAR VISTA ELEMENTARY",6055172
"VENTURA","TIERRA VISTA ELEM",6055180
"VENTURA","MEINERS OAKS ELEMENTARY",6055198
"VENTURA","MIRA MONTE ELEM",6055206
"VENTURA","SAN ANTONIO ELEM",6055222
"VENTURA","SUMMIT ELEM",6055230
"VENTURA","TOPA TOPA ELEM",6055248
"VENTURA","CURREN ELEM",6055263
"VENTURA","DRIFFILL ELEM",6055271
"VENTURA","ELM ST ELEM",6055289
"VENTURA","HARRINGTON ELEM",6055297
"VENTURA","CESAR CHAVEZ ELEM",6055321
"VENTURA","KAMALA ELEM",6055339
"VENTURA","MARINA WEST ELEM",6055347
"VENTURA","MCKINNA ELEM",6055354
"VENTURA","RAMONA ELEM",6055362
"VENTURA","ROSE AVENUE ELEMENTARY",6055370
"VENTURA","SIERRA LINDA ELEM",6055388
"VENTURA","CAMARILLO HEIGHTS ELE",6055396
"VENTURA","DOS CAMINOS ELEM",6055404
"VENTURA","EL DESCANSO ELEM",6055412
"VENTURA","EL RANCHO ELEM",6055420
"VENTURA","LAS POSAS ELEM",6055438
"VENTURA","LOS NOGALES ELEM",6055453
"VENTURA","EL RIO ELEM",6055487
"VENTURA","RIO LINDO ELEM",6055503
"VENTURA","RIO PLAZA ELEM",6055511
"VENTURA","RIO REAL ELEMENTARY",6055529
"VENTURA","SANTA CLARA ELEM",6055537
"VENTURA","WEBSTER (BARBARA) ELE",6055545
"VENTURA","BLANCHARD ELEMENTARY",6055552
"VENTURA","GLEN CITY ELEMENTARY",6055578
"VENTURA","THILLE (GRACE S) ELE",6055586
"VENTURA","MCKEVETT ELEM",6055602
"VENTURA","BEDELL (THELMA B) ELEM",6055610
"VENTURA","ARROYO",6055636
"VENTURA","BERYLWOOD ELEM",6055651
"VENTURA","BIG SPRINGS ELEM",6055669
"VENTURA","BROOKSIDE ELEMENTARY",6055677
"VENTURA","CRESTVIEW ELEM",6055685
"VENTURA","GARDEN GROVE ELEMENTARY",6055693
"VENTURA","HOLLOW HILLS ELEMENTARY",6055701
"VENTURA","KATHERINE ELEMENTARY",6055719
"VENTURA","KNOLLS ELEM",6055727
"VENTURA","LINCOLN ELEM",6055735
"VENTURA","MADERA ELEM",6055743
"VENTURA","MOUNTAIN VIEW ELEM",6055750
"VENTURA","PARK VIEW ELEMENTARY",6055768
"VENTURA","SANTA SUSANA ELEMENTARY",6055776
"VENTURA","SIMI VALLEY ELEM",6055784
"VENTURA","SYCAMORE ELEM",6055792
"VENTURA","TOWNSHIP ELEMENTARY",6055800
"VENTURA","VISTA ELEMENTARY",6055818
"VENTURA","SOMIS ELEMENTARY",6055834
"VENTURA","ACACIA ELEMENTARY",6055842
"VENTURA","ASPEN ELEM",6055859
"VENTURA","BANYAN ELEM",6055867
"VENTURA","MADRONA ELEM",6055875
"VENTURA","MANZANITA ELEM",6055883
"VENTURA","MAPLE ELEM",6055909
"VENTURA","WALNUT ELEM",6055917
"VENTURA","CONEJO ELEM",6055933
"VENTURA","GLENWOOD ELEM",6055941
"VENTURA","LADERA ELEMENTARY",6055966
"VENTURA","MEADOWS ARTS AND TECHNOLOGY ELEMENTARY",6055974
"VENTURA","PARK OAKS ELEM",6055982
"VENTURA","SANTA ROSA ELEM",6055990
"VENTURA","UNIVERSITY ELEM",6056006
"VENTURA","WEATHERSFIELD ELEM",6056022
"VENTURA","SUNSET ELEMENTARY",6056030
"VENTURA","BLANCHE REYNOLDS ELEM",6056055
"VENTURA","E P FOSTER ELEM",6056063
"VENTURA","ELMHURST ELEMENTARY",6056089
"VENTURA","JUANAMARIA ELEM",6056097
"VENTURA","JUNIPERO SERRA ELEM",6056105
"VENTURA","LINCOLN ELEM",6056113
"VENTURA","LOMA VISTA ELEM",6056121
"VENTURA","MONTALVO ELEM",6056147
"VENTURA","MOUND ELEM",6056154
"VENTURA","SUNSET",6056162
"VENTURA","PIERPONT ELEM",6056170
"VENTURA","POINSETTIA ELEM",6056188
"VENTURA","ACADEMY OF TECHNOLOGY & LEADERSHIP AT SATICOY",6056204
"VENTURA","SHERIDAN WAY",6056212
"VENTURA","WILL ROGERS ELEMENTARY",6056238
"YOLO","BIRCH LANE ELEM",6056246
"YOLO","FAIRFIELD ELEMENTARY",6056253
"YOLO","NORTH DAVIS ELEM",6056261
"YOLO","PIONEER ELEMENTARY",6056279
"YOLO","VALLEY OAK ELEM",6056287
"YOLO","CESAR CHAVEZ ELEM",6056295
"YOLO","ROBERT E WILLETT ELEM",6056303
"YOLO","ESPARTO K - 8",6056311
"YOLO","ALYCE NORMAN ELEM",6056329
"YOLO","BRYTE ELEM",6056345
"YOLO","ELKHORN VILLAGE ELEM",6056352
"YOLO","EVERGREEN ELEM",6056360
"YOLO","WESTFIELD VILLAGE ELE",6056394
"YOLO","WESTMORE OAKS ELEMENTARY",6056402
"YOLO","WAGGONER ELEM",6056410
"YOLO","BEAMER ELEM",6056444
"YOLO","DINGLE ELEM",6056469
"YOLO","FREEMAN ELEM",6056477
"YOLO","GIBSON ELEM",6056485
"YOLO","GRAFTON ELEM",6056493
"YOLO","PLAINFIELD ELEM",6056527
"YOLO","WILLOW SPRING ELEM",6056535
"YOLO","GREENGATE CTR FOR EXC",6056568
"YUBA","ARBOGA ELEM",6056634
"YUBA","CEDAR LANE ELEM",6056659
"YUBA","CORDUA ELEM",6056667
"YUBA","DOBBINS ELEM",6056675
"YUBA","ELLA ELEM",6056683
"YUBA","JOHNSON PARK ELEM",6056709
"YUBA","LINDA ELEM",6056717
"YUBA","LOMA RICA ELEM",6056725
"YUBA","COVILLAUD (MARY) ELEM",6056733
"YUBA","OLIVERHURST ELEM",6056741
"YUBA","KYNOCH (WALTER) ELEM",6056774
"YUBA","KYNOCH",6056782
"YUBA","PLUMAS ELEM (PLUMAS C",6056808
"YUBA","LONE TREE ELEM",6056832
"YUBA","WHEATLAND ELEM",6056840
"ALAMEDA","HOOVER ELEMENTARY",6057046
"CONTRA COSTA","DOWNER ELEM",6057210
"LOS ANGELES","EDGEWOOD ACADEMY",6057483
"LOS ANGELES","WASHINGTON ELEM",6057517
"LOS ANGELES","MARY E MELLER ELEM",6057673
"LOS ANGELES","ALONDRA",6058440
"MONTEREY","KING SCHOOL",6058721
"MONTEREY","WALTER COLTON SCHOOL",6058747
"ORANGE","MCPHERSON ELEM",6058945
"SACRAMENTO","ROSA PARKS ELEMENTARY",6059299
"SACRAMENTO","LEONARDO DA VINCI ELEM",6059315
"SACRAMENTO","JOHN H STILL",6059323
"KERN","LOST HILLS ELEM",6060420
"LOS ANGELES","LOWMAN (C L) DEV CTR",6060461
"LOS ANGELES","SELLERY (C M) DEV CTR",6060479
"LOS ANGELES","BLEND (FRANCES) ELEM",6060487
"LOS ANGELES","BENJAMIN BANNEKER DEV",6060495
"LOS ANGELES","WILLENBERG/AKERSON SP",6060503
"LOS ANGELES","MCBRIDE (SPECIAL ED)",6060511
"LOS ANGELES","MARLTON SCH (SPEC ED)",6060529
"LOS ANGELES","ALFONSO B PEREZ SCHOO",6060545
"LOS ANGELES","PACIFIC BLVD SP ED",6060552
"LOS ANGELES","LOKRANTZ SP ED CTR",6060578
"LOS ANGELES","SALVIN",6060586
"SONOMA","PAGE (THOMAS) ELEM",6060669
"KERN","HAMILTON ELEM",6061212
"LOS ANGELES","FOSHAY LRNG CTR",6061451
"SAN DIEGO","THE O'FARRELL CHARTER",6061964
"SAN FRANCISCO","BUENA VISTA HORACE MANN K - 8",6062046
"ALAMEDA","STROBRIDGE ELEMENTARY",6062160
"YOLO","RHODA MAXWELL ELEM",6066252
"YOLO","T L WHITEHEAD ELEMENTARY",6066260
"LOS ANGELES","LOREN MILLER ELEMENTARY",6066278
"LOS ANGELES","SATURN STREET",6066286
"SONOMA","OLIVET ELEM",6066344
"SONOMA","LEHMAN (HELEN M) ELEM",6066385
"ALAMEDA","JOHN GOMES ELEMENTARY",6066468
"CONTRA COSTA","WAGNER RANCH ELEM",6066583
"CONTRA COSTA","NEIL A ARMSTRONG ELEMENTARY",6066591
"KINGS","P W ENGVALL ELEMENTARY",6066666
"KERN","WAYNE VAN HORN ELEMENTARY",6066674
"SACRAMENTO","WOODRIDGE ELEMENTARY",6066682
"ORANGE","COX (JAMES H)",6066692
"LOS ANGELES","STOWERS ELEM",6066716
"LOS ANGELES","WEDGEWORTH ELEMENTARY",6066757
"LOS ANGELES","OLD ORCHARD ELEM",6066773
"LOS ANGELES","MITCHELL COMMUNITY ELEMENTARY",6066807
"ORANGE","LOS COYOTES ELEMENTARY",6066823
"ORANGE","ALISO ELEM",6066864
"ORANGE","VALENCIA ELEM",6066872
"ORANGE","ROBERT HEIDEMAN ELEMENTARY",6066898
"ORANGE","COX (JAMES H) ELEM",6066922
"MONTEREY","LA GLORIA ELEMENTARY",6066955
"MONTEREY","UNIVERSITY PARK ELEM",6066963
"SAN DIEGO","PARKVIEW ELEM",6066971
"SAN DIEGO","CAPRI ELEMENTARY",6066989
"SAN DIEGO","MILLER ELEM",6066997
"SAN DIEGO","SAN RAFAEL ELEM",6067011
"SAN DIEGO","BERRY (GODFREY G) ELE",6067029
"SAN BERNARDINO","NORTH SHORE ELEMENTARY",6067052
"SAN BERNARDINO","KINGSBURY ELEMENTARY",6067060
"SAN BERNARDINO","KIMBARK ELEM",6067078
"SAN BERNARDINO","NORTH PARK ELEM",6067086
"SANTA BARBARA","BRANDON ELEM",6067110
"SISKIYOU","EVERGREEN LANE ELEM",6067136
"SOLANO","RICHARDSON (HGLENN)",6067144
"SANTA CLARA","RUSKIN ELEM",6067177
"SANTA CLARA","BLUE HILLS ELEM",6067185
"SANTA CLARA","CEDAR GROVE ELEM",6067193
"SANTA CLARA","KENNEDY (ROBERT F) E",6067201
"SANTA CLARA","ZANKER (PEARL) ELEM",6067219
"SANTA CLARA","VALLE VISTA ELEM",6067227
"SANTA CLARA","SANTA TERESA ELEM",6067243
"SUTTER","BUTTE VISTA ELEM",6067268
"VENTURA","VALLE LINDO ELEM",6067276
"VENTURA","JUSTIN ELEM",6067284
"VENTURA","WHITE OAK ELEM",6067292
"SAN DIEGO","CARLTON OAKS ELEM",6068159
"SAN BERNARDINO","EMMERTON ELEM",6068191
"SAN BERNARDINO","OEHL ELEM",6068209
"SANTA CLARA","NIXON (LUCILLE M) ELE",6068241
"LOS ANGELES","CERRITOS ELEMENTARY",6068274
"SAN MATEO","JUNIPERO SERRA ELEM",6068282
"SOLANO","SCANDIA ELEM",6068290
"BUTTE","LOMA VISTA - OH/SH SPEC",6068340
"ORANGE","EASTBLUFF ELEMENTARY",6068399
