"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","SAN BERNARDINO","VISTA GRANDE ELEMENTA",100107,96,96,94,95,0,0,2004
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,97,96,96,96,0,1,2015
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,98,98,98,98,0,0,2013
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,102,101,101,101,0,0,2004
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,104,104,104,104,0,0,2005
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,90,89,89,89,1,0,2010
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,77,76,76,76,1,0,2008
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,90,90,90,90,0,0,2009
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,92,91,91,91,0,0,2006
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,85,85,85,85,0,0,2011
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,96,96,96,96,0,0,2014
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,97,93,95,95,2,0,2007
"PUBLIC","SAN BERNARDINO","MONTERA ELEMENTARY",100115,87,87,87,87,0,0,2012
"PUBLIC","ALAMEDA","EAST OAKLAND LEADERSHIP ACADEMY",100123,15,13,13,13,2,0,2015
"PUBLIC","ALAMEDA","EAST OAKLAND LEADERSHIP ACADEMY",100123,12,12,12,12,0,0,2013
"PUBLIC","ALAMEDA","EAST OAKLAND LEADERSHIP ACADEMY",100123,27,27,27,27,0,0,2014
"PUBLIC","ALAMEDA","EAST OAKLAND LEADERSHIP ACADEMY",100123,15,15,15,15,0,0,2012
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,122,119,119,120,0,0,2007
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,117,111,117,117,0,0,2003
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,105,101,103,102,2,0,2011
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,96,85,90,91,0,1,2013
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,141,138,141,141,0,0,2004
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,101,98,97,97,0,1,2010
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,88,85,77,82,0,0,2012
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,130,128,128,128,1,0,2006
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,134,131,134,134,0,0,2005
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,110,106,108,108,0,0,2014
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,78,75,76,75,0,0,2008
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,101,95,95,93,0,0,2009
"PUBLIC","RIVERSIDE","DR REYNOLDO J CARREON",100164,117,116,116,115,0,0,2015
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,81,80,80,80,1,0,2014
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,94,90,90,90,0,0,2015
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,130,130,127,127,0,0,2013
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,127,126,126,126,0,0,2012
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,102,97,98,96,0,0,2004
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,104,101,100,100,0,1,2005
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,121,121,121,120,0,0,2010
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,84,82,82,80,0,0,2003
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,83,81,81,81,0,0,2008
"PUBLIC","SAN JOAQUIN","BUSH ELEMENTARY",100206,82,81,81,81,0,0,2009
