"schoolType","COUNTY","SCHOOL","school_code","n","nMMR","nDTP","nPolio","nPBE","nPME","year"
"PUBLIC","SAN LUIS OBISPO","CAPPY CULVER ELEMENTARY",108522,18,18,18,17,0,0,2005
"PUBLIC","SAN LUIS OBISPO","CAPPY CULVER ELEMENTARY",108522,18,14,17,15,0,0,2007
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,105,105,105,105,0,0,2006
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,129,119,119,119,9,1,2015
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,123,122,122,123,0,0,2009
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,143,143,143,143,0,0,2008
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,118,114,114,114,4,0,2012
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,124,117,117,117,6,1,2014
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,133,126,125,126,4,2,2011
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,134,128,129,129,5,0,2013
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,118,118,117,117,0,0,2010
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,128,128,128,128,0,0,2007
"PUBLIC","RIVERSIDE","ANTELOPE HILLS ELEMENTARY",108530,103,102,102,102,0,1,2005
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,63,51,52,50,7,0,2013
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,55,52,48,47,1,0,2012
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,49,38,29,31,0,0,2011
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,52,46,49,45,0,0,2014
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,20,11,19,19,0,0,2008
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,40,37,32,33,0,0,2010
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,36,25,25,25,11,0,2006
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,37,28,27,27,0,0,2009
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,46,29,39,34,1,0,2015
"PUBLIC","SAN DIEGO","IFTIN CHARTER",108548,22,15,9,8,1,0,2007
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,86,83,82,83,0,0,2012
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,57,53,53,53,1,3,2006
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,84,77,77,84,0,0,2010
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,60,58,58,59,1,0,2008
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,108,97,99,102,2,0,2014
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,84,82,82,75,2,0,2009
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,56,47,47,47,8,1,2005
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,84,77,82,82,2,0,2011
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,88,84,85,85,3,0,2013
"PUBLIC","SAN DIEGO","EJE ELEMENTARY ACADEMY CHARTER",108563,130,118,117,118,8,1,2015
"PUBLIC","ALAMEDA","FALLON (ELEANOR MURRA",108571,57,46,40,48,1,0,2008
"PUBLIC","ALAMEDA","FALLON (ELEANOR MURRA",108571,64,56,64,64,0,0,2010
"PUBLIC","ALAMEDA","FALLON (ELEANOR MURRA",108571,65,59,58,60,0,0,2009
"PUBLIC","ALAMEDA","FALLON (ELEANOR MURRA",108571,109,103,104,105,0,0,2005
"PUBLIC","ALAMEDA","FALLON (ELEANOR MURRA",108571,37,37,36,36,0,0,2007
"PUBLIC","ALAMEDA","FALLON (ELEANOR MURRA",108571,120,113,111,111,0,0,2006
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,60,60,60,60,0,0,2007
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,71,70,69,70,0,1,2015
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,62,60,61,60,0,0,2012
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,56,56,56,56,0,0,2014
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,56,55,55,55,0,0,2011
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,61,59,59,56,1,1,2010
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,60,60,60,60,0,0,2006
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,63,63,63,63,0,0,2009
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,71,70,71,71,0,0,2008
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,68,68,68,68,0,0,2005
"PUBLIC","KERN","SAN LAUREN ELEMENTARY",108589,73,70,70,70,1,1,2013
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,86,83,83,83,3,0,2009
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,73,71,71,71,2,0,2007
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,97,95,95,95,2,0,2010
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,66,65,65,65,0,1,2006
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,82,81,81,81,1,0,2008
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,92,82,77,78,2,5,2013
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,95,92,92,92,3,0,2011
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,68,67,67,67,1,0,2005
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,99,89,87,87,1,0,2014
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,98,82,78,79,1,0,2012
"PUBLIC","LOS ANGELES","TESORO DEL VALLE ELEMENTARY",108597,97,86,87,86,1,0,2015
"PUBLIC","NAPA","STONE BRIDGE",108605,42,31,27,27,11,0,2011
"PUBLIC","NAPA","STONE BRIDGE",108605,40,23,22,21,16,1,2015
"PUBLIC","NAPA","STONE BRIDGE",108605,42,29,29,29,13,0,2010
"PUBLIC","NAPA","STONE BRIDGE",108605,40,33,33,33,7,0,2008
"PUBLIC","NAPA","STONE BRIDGE",108605,42,26,26,26,16,0,2012
"PUBLIC","NAPA","STONE BRIDGE",108605,39,31,31,31,8,0,2007
"PUBLIC","NAPA","STONE BRIDGE",108605,41,19,19,19,21,1,2014
"PUBLIC","NAPA","STONE BRIDGE",108605,33,28,27,28,5,0,2005
"PUBLIC","NAPA","STONE BRIDGE",108605,36,31,31,31,5,0,2006
"PUBLIC","NAPA","STONE BRIDGE",108605,40,24,24,24,16,0,2013
"PUBLIC","NAPA","STONE BRIDGE",108605,40,30,30,30,9,1,2009
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,37,37,37,37,0,0,2007
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,65,64,64,64,1,0,2011
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,109,105,105,105,4,0,2014
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,49,47,47,47,2,0,2009
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,36,36,36,36,0,0,2008
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,80,78,78,78,2,0,2006
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,20,20,20,20,0,0,2005
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,42,42,42,42,0,0,2010
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,66,66,66,66,0,0,2012
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,87,83,83,83,4,0,2015
"PUBLIC","SAN JOAQUIN","VERITAS ELEMENTARY",108613,62,61,61,61,1,0,2013
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,152,148,148,148,2,0,2012
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,165,161,161,161,2,2,2011
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,137,131,131,131,4,1,2010
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,174,164,164,164,10,0,2013
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,136,131,131,131,2,3,2009
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,160,159,158,159,1,0,2007
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,138,137,137,136,1,0,2008
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,184,176,174,176,8,0,2014
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,182,176,176,177,5,0,2006
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,122,118,118,119,2,1,2005
"PUBLIC","RIVERSIDE","OAK MEADOWS ELEMENTARY",108639,172,164,164,163,7,0,2015
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,60,60,60,60,0,0,2008
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,64,64,64,64,0,0,2014
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,31,26,27,26,1,0,2005
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,60,60,60,60,0,0,2011
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,66,65,65,65,1,0,2012
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,66,64,64,64,1,0,2015
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,60,60,60,60,0,0,2010
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,30,30,30,30,0,0,2006
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,66,66,66,66,0,0,2013
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,60,60,60,60,0,0,2009
"PUBLIC","SAN JOAQUIN","ROSA PARKS ACADEMY",108647,69,61,69,69,0,0,2007
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,115,114,114,114,1,0,2013
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,92,90,89,89,1,0,2008
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,114,110,112,112,2,0,2010
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,80,79,77,78,1,0,2009
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,81,80,80,80,1,0,2006
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,129,126,125,125,3,0,2014
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,86,81,80,80,1,0,2007
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,146,142,142,142,3,1,2011
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,151,146,146,145,4,0,2012
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,129,126,125,125,2,0,2015
"PUBLIC","SAN DIEGO","VETERANS ELEMENTARY",108662,65,64,64,64,0,0,2005
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,46,46,46,46,0,0,2015
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,62,62,62,62,0,0,2011
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,60,58,58,58,1,0,2008
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,68,68,67,68,0,0,2013
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,80,80,80,80,0,0,2006
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,40,38,39,39,0,0,2005
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,60,60,60,60,0,0,2007
"PUBLIC","SANTA CLARA","RAMBLEWOOD ELEMENTARY",108696,56,55,55,55,1,0,2010
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,161,153,152,153,6,1,2015
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,189,178,178,177,6,1,2014
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,178,143,142,146,21,0,2013
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,181,144,142,146,5,2,2008
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,152,139,136,137,5,1,2007
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,169,143,144,141,1,0,2012
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,200,156,149,151,5,0,2009
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,192,173,175,173,10,0,2010
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,132,119,120,119,1,3,2006
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,195,172,165,166,10,0,2011
"PUBLIC","ORANGE","OSO GRANDE ELEMENTARY",108704,93,82,82,82,4,0,2005
"PUBLIC","SOLANO","DIXON MONTESSORI CHAR",108712,24,23,24,23,0,0,2006
"PUBLIC","SOLANO","DIXON MONTESSORI CHAR",108712,31,26,27,27,2,1,2007
"PUBLIC","SOLANO","DIXON MONTESSORI CHAR",108712,30,29,29,29,1,0,2008
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,99,96,95,96,0,0,2015
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,92,86,87,87,2,0,2010
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,79,72,71,71,3,0,2008
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,99,86,88,89,2,0,2006
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,96,95,94,95,1,0,2013
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,81,72,72,73,5,1,2012
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,88,82,82,82,2,1,2007
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,92,81,81,82,0,0,2011
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,76,74,74,74,1,1,2005
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,80,78,79,79,1,0,2009
"PUBLIC","SACRAMENTO","ARNOLD ADREANI ELEMENTARY",108720,121,109,108,111,4,1,2014
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,144,108,116,117,3,0,2009
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,141,93,91,95,7,0,2008
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,134,126,124,126,3,0,2012
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,130,113,114,117,2,2,2005
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,131,119,113,113,3,0,2006
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,116,109,109,109,5,0,2013
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,111,95,97,96,1,0,2010
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,137,129,128,129,0,0,2011
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,153,152,152,152,1,0,2014
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,135,125,122,123,4,0,2007
"PUBLIC","SACRAMENTO","CASTELLO (HELEN CARR)",108738,146,143,143,143,1,1,2015
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,83,83,83,83,0,0,2008
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,69,69,69,69,0,0,2006
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,134,132,129,129,0,0,2015
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,85,82,84,81,0,0,2010
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,80,80,79,80,0,0,2005
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,80,80,79,79,0,0,2007
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,120,118,115,118,0,0,2011
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,87,79,75,76,0,0,2012
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,85,80,76,79,1,0,2013
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,102,96,93,91,0,0,2009
"PUBLIC","LOS ANGELES","HOWARD TANNER",108779,84,81,78,84,0,0,2014
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,50,45,45,45,5,0,2015
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,49,45,44,45,0,0,2012
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,50,45,45,46,3,0,2014
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,18,17,17,17,0,0,2008
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,46,40,40,41,5,0,2013
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,24,23,23,23,0,0,2009
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,50,46,46,46,3,0,2011
"PUBLIC","SACRAMENTO","CREATIVE CONNECTIONS ARTS ACADEMY",108795,49,40,40,40,1,2,2010
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,29,24,23,25,0,0,2006
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,48,37,37,38,1,0,2011
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,46,34,34,32,0,0,2010
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,46,41,42,41,2,0,2013
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,20,15,19,15,0,0,2008
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,29,29,29,24,0,0,2005
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,42,29,30,29,0,0,2009
"PUBLIC","ALAMEDA","MILLSMONT ACADEMY",108803,45,43,40,42,0,0,2012
"PUBLIC","SACRAMENTO","COMMUNITY COLLABORATIVE CHARTER",108837,66,21,14,14,42,0,2013
"PUBLIC","SACRAMENTO","COMMUNITY COLLABORATIVE CHARTER",108837,76,41,41,41,35,0,2014
"PUBLIC","SACRAMENTO","COMMUNITY COLLABORATIVE CHARTER",108837,95,33,34,37,38,0,2012
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,40,40,40,40,0,0,2006
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,61,60,60,60,1,0,2007
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,60,41,36,36,2,0,2009
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,100,83,86,82,0,0,2011
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,110,102,89,89,4,0,2015
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,61,57,58,58,1,1,2008
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,110,89,93,93,0,0,2012
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,110,102,101,104,0,0,2014
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,110,107,107,107,3,0,2013
"PUBLIC","SACRAMENTO","WESTLAKE CHARTER",108860,60,47,43,39,3,0,2010
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,44,43,43,43,1,0,2012
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,20,20,20,20,0,0,2006
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,43,42,41,42,1,0,2011
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,20,20,20,20,0,0,2007
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,40,38,39,39,1,0,2010
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,40,37,37,37,1,0,2009
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,20,19,19,19,0,1,2008
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,44,44,44,44,0,0,2013
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,43,42,42,42,1,0,2014
"PUBLIC","LOS ANGELES","GABRIELLA CHARTER",108886,44,43,43,42,1,0,2015
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,121,117,115,114,1,0,2014
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,129,118,111,111,1,0,2011
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,121,114,113,112,1,0,2013
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,142,126,139,140,0,0,2012
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,132,132,132,132,0,0,2015
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,54,52,52,52,0,0,2008
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,112,91,95,90,1,0,2010
"PUBLIC","LOS ANGELES","CELERITY NASCENT CHAR",108910,55,38,49,52,1,0,2009
"PUBLIC","LOS ANGELES","LARCHMONT CHARTER",108928,114,101,101,101,13,0,2014
"PUBLIC","LOS ANGELES","LARCHMONT CHARTER",108928,66,62,62,62,0,0,2012
"PUBLIC","LOS ANGELES","LARCHMONT CHARTER",108928,113,108,109,106,2,1,2015
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,79,77,77,77,0,0,2014
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,146,138,139,139,3,0,2011
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,90,90,90,90,0,0,2013
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,60,60,60,60,0,0,2005
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,120,116,117,117,2,0,2009
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,121,119,119,119,2,0,2015
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,115,112,112,112,2,1,2010
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,210,199,198,198,4,0,2012
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,60,57,57,57,0,0,2007
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,80,78,78,78,0,0,2008
"PUBLIC","TULARE","SUMMIT CHARTER ACADEMY",109009,80,79,79,79,0,0,2006
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,79,78,79,78,0,0,2013
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,60,48,49,49,3,0,2010
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,60,59,60,60,0,0,2011
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,60,56,56,58,0,0,2009
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,60,59,60,60,0,0,2012
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,93,89,89,89,4,0,2014
"PUBLIC","ORANGE","ORANGE COUNTY EDUCATIONAL ARTS ACADEMY",109066,113,111,111,111,2,0,2015
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,58,58,58,58,0,0,2005
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,69,68,68,68,1,0,2013
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,84,84,83,84,0,0,2014
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,69,69,69,69,0,0,2011
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,77,73,74,74,0,0,2006
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,69,68,68,68,1,0,2010
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,63,62,59,62,1,0,2009
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,70,69,69,69,1,0,2012
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,61,57,58,57,0,0,2007
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,78,78,78,78,0,0,2008
"PUBLIC","STANISLAUS","JOEL HIDAHL ELEMENTARY",109074,95,95,95,95,0,0,2015
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,94,91,91,91,3,0,2012
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,98,97,97,97,1,0,2010
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,94,92,92,92,2,0,2014
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,123,122,122,122,1,0,2015
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,81,81,81,81,0,0,2007
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,60,60,60,60,0,0,2006
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,100,98,98,98,2,0,2008
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,84,83,83,83,1,0,2009
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,69,66,66,66,3,0,2005
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,116,115,115,115,1,0,2013
"PUBLIC","STANISLAUS","M ROBERT ADKISON ELE",109082,95,95,95,95,0,0,2011
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,92,91,91,91,1,0,2012
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,107,105,105,105,2,0,2009
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,80,78,78,78,0,2,2006
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,80,80,80,80,0,0,2005
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,92,89,89,89,3,0,2011
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,87,87,87,87,0,0,2013
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,80,79,79,79,1,0,2007
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,70,69,69,69,1,0,2014
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,92,91,91,91,1,0,2010
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,80,80,80,80,0,0,2008
"PUBLIC","STANISLAUS","SINCLEAR ELEMENTARY",109090,96,95,95,95,1,0,2015
"PUBLIC","RIVERSIDE","LASSELLE ELEMENTARY",109116,121,119,119,118,0,0,2009
"PUBLIC","RIVERSIDE","LASSELLE ELEMENTARY",109116,121,119,119,119,0,2,2012
