longitude,latitude,school_code,countyMatch,isSchool
-116.3971649,33.7050553,6142715,1,1
-116.3042329,33.7376112,9033513,1,1
-117.5329839,33.9342681,6917942,1,1
-117.1548584,33.5477204,6201677,1,1
-116.8915159,33.7476613,7071491,1,1
-117.2355461,33.9366368,6903280,1,1
-117.1956228,33.9166065,6927016,1,1
-117.1395271,33.4879346,7055056,1,1
-117.366588,33.884648,7092091,1,1
-117.2291364,33.3758768,6917991,0,1
-121.4395261,38.4996969,7096852,1,1
-121.4394992,38.5403771,6976302,1,1
-121.358747,38.705002,7271197,1,1
-121.357272,38.535469,7091481,1,1
-121.4086476,38.599097,7100068,1,1
-121.516656,38.479995,6206338,0,1
-121.3353095,38.4558284,7085707,1,1
-121.3979601,38.6032775,7020746,1,1
-121.1594052,38.6615521,6204549,1,1
-121.5260237,38.5162055,6976310,1,1
-121.4434512,38.6156751,6999148,1,0
-121.5479582,38.486066,7069230,0,1
-121.3463016,38.5603803,6902019,1,1
-121.2803377,38.7001984,6911283,1,1
-121.3927147,38.6171129,6976328,1,1
-121.3191013,38.5820509,6995963,1,1
-121.2719763,38.6168651,7099450,1,1
0,0,7006745,0,0
-121.3155727,38.5862128,7080815,1,0
-121.3155727,38.5862128,7083041,1,0
-121.298814,38.604197,6993216,1,1
-121.2446214,38.6778665,9134502,1,1
-121.2628154,38.6544131,6957146,1,0
0,0,6922058,0,0
-121.4703674,38.5835729,6922066,1,1
-121.2884,38.683915,6915824,1,1
0,0,6915524,0,0
-121.4815314,38.5572408,6995898,1,0
-121.3328702,38.6094917,6976351,1,1
-121.3765747,38.4114507,6922090,1,1
0,0,6907653,0,0
-121.2794033,38.6896677,6918981,1,0
-121.2910675,38.6371495,6976369,1,1
-121.2261939,38.6836651,6927297,1,1
-121.4263058,38.6136179,6204432,1,1
-121.3484448,38.6804131,7051527,1,0
-121.4760124,38.5728408,6132971,1,1
-121.4075181,38.4949814,7101298,1,1
-121.1692044,38.6596622,6205843,1,1
-121.1329567,38.6661237,6144232,1,1
-121.1749119,38.6757624,6915177,1,1
-121.2803397,38.6524821,6952865,1,1
-121.299681,38.247408,6901987,1,1
-121.4469347,38.5154474,6976377,1,1
-121.3848924,38.695338,6138564,1,0
-121.2752459,38.7033684,6970156,1,1
